RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023
102001,0,United States,country,,225833,225833,228450,232617,237617,243167,245667,245000,240000,236633,234967,234967,234167,233167,234833,239733,247400,254067,258000,258000,254667,251667,250000,251167,251133,251633,253800,257833,260333,263667,269667,278333,284000,287300,288967,289600,287467,287467,292167,302667,312667,321667,326667,328667,327000,325667,327000,328167,327500,329133,336300,349967,361667,368333,365000,358333,350000,344333,337667,331000,325667,326333,333000,342333,353333,362667
394913,1,"New York, NY",msa,NY,398300,395000,396333,400000,408333,420667,430667,438967,432967,423633,415333,409750,409550,409550,409633,410833,414167,426000,435000,441000,436667,431083,425083,425917,427500,426833,426450,429783,437117,446000,452333,464000,475083,485417,491750,493508,495175,495508,496667,502667,509667,525000,537333,547000,546333,540000,533333,530333,531667,531667,535000,541667,556667,576667,591667,600000,591667,576000,559333,550650,546317,542983,543000,553000,572667,593000
753899,2,"Los Angeles, CA",msa,CA,635833,642500,652500,666667,678333,685000,690333,687000,682000,676667,670667,660667,652333,650000,660000,673333,681667,689667,698000,699333,698000,689667,688333,688333,690000,698333,708333,712333,709000,710417,731500,758167,773417,776667,771667,768333,768333,780000,798333,820000,836667,850000,854417,856250,852917,851833,850000,856000,857667,870333,887667,919333,940083,943417,926417,906333,888000,876667,865833,854167,844167,841333,849667,861333,878000,894667
394463,3,"Chicago, IL",msa,IL,226333,226667,230667,239333,247333,256667,256333,253667,244500,237833,234167,231167,230833,230500,235667,243267,251767,258767,260833,257667,249333,243333,240333,240300,238633,238967,245667,255667,261000,261667,265000,272333,276667,276000,272667,269333,266650,265983,272650,284570,298237,306570,306333,300158,290158,283491,280000,278333,276667,276333,282167,293833,305833,316667,316667,311667,300000,290833,284167,279167,276000,275817,283483,294150,307333,319000
394514,4,"Dallas, TX",msa,TX,242250,244583,248750,256667,263333,268333,270833,267500,260000,254167,250800,251238,248538,248572,251300,259000,267333,272817,275817,274783,270300,267300,263333,264333,263000,264997,267330,274563,277567,281733,287167,294500,298000,298333,299333,300000,296666,301333,309667,324667,337333,349000,356750,357750,354750,354000,355582,359915,361248,366333,375333,395333,413667,425000,422333,412333,401500,393583,385917,376750,367333,366667,370000,380000,388333,400000
394692,5,"Houston, TX",msa,TX,208593,209167,212500,220833,226333,230333,231333,229667,225500,221500,219500,220667,218167,217500,218833,225667,233333,238883,240550,239550,235000,231333,227667,230000,228500,229833,230000,235800,238133,242300,250000,257633,259300,258267,259967,263967,263000,266300,273933,286600,296633,304333,308500,308500,303315,300815,302482,308332,308665,311998,315333,328400,340067,349400,351000,344333,337500,329167,323167,317333,310667,310000,311667,320167,327167,335500
395209,6,"Washington, DC",msa,VA,389333,385333,394000,408667,422833,427833,427833,426982,417648,410982,405667,409667,409667,409997,413330,424997,436667,445000,445000,441666,428333,422667,420333,425733,421400,421233,430417,449417,460250,462667,469917,474917,471750,458833,449000,446833,443467,441717,450050,468417,490000,503333,505000,499333,487667,482667,478333,477000,465333,463667,476667,508333,535333,546000,539333,525667,506667,496735,490068,485068,473333,476667,490000,516667,538333,555000
394974,7,"Philadelphia, PA",msa,PA,224517,220350,220600,222667,230000,237900,245900,250233,245000,238300,233300,231633,229946,226946,228946,234667,242667,254000,262000,267000,260333,253333,248333,247333,247333,244300,246967,256967,265000,270667,275333,283667,287000,282000,277000,274667,273333,269500,268500,271833,280667,295000,306667,314083,308083,300750,295333,291333,288667,282500,285833,294167,311667,330000,340000,341667,333333,325667,320633,317300,313300,308000,309667,315000,327000,340350
394856,8,"Miami, FL",msa,FL,306000,307333,312000,314667,318333,321667,323333,323333,320000,321667,323333,323333,320000,318300,319967,323300,326667,330000,333667,334667,334667,334333,335000,336667,338333,340665,343298,346598,347600,348300,354167,362167,368833,372667,376000,379333,379667,381667,389167,402500,414167,425000,430000,433333,430000,428333,433333,441667,448333,456667,468333,485333,501967,513633,519967,513333,506667,500000,500000,493333,493300,496633,510650,525683,539017,553333
394347,9,"Atlanta, GA",msa,GA,211667,214583,218283,227017,234767,241067,241667,237633,232633,229283,227650,226317,223923,223623,227957,235367,244667,251333,255967,254800,250100,244800,243633,244950,244617,246283,251067,261067,262733,264667,268000,277667,281333,283000,282592,282592,280925,283333,293333,308333,323048,335082,342415,342700,339667,340000,345000,349333,348333,350000,355333,368667,383667,395233,398567,391567,382967,372967,364967,356667,349333,349000,354447,365113,375447,386633
394404,10,"Boston, MA",msa,MA,426667,420300,420278,428611,448044,469733,481067,483582,466249,449937,440689,438022,441333,436250,441500,446500,465250,480667,492017,490350,479650,466453,458120,460820,466000,466000,473333,488333,501667,513333,520833,538167,546500,545667,540500,536167,537833,535667,543417,563417,590083,620000,630000,634000,617333,605067,601067,601400,602667,592667,602333,625000,665000,696667,703333,696667,670333,650333,637000,625500,617167,600500,611667,635000,675000,706167
394976,11,"Phoenix, AZ",msa,AZ,251667,255000,257667,260000,263000,267650,270983,271317,270000,269000,269000,269000,270000,269983,271650,274167,279183,282517,285000,286000,287333,289167,289833,291833,295000,300000,305000,306667,306000,307667,314000,323000,329667,335333,338667,340333,343417,351750,363417,375667,389000,402667,413667,420667,426400,432233,436900,440833,445000,454167,466500,479833,494000,500000,498333,484333,470167,459917,448917,437417,428100,424767,429100,435000,443333,453000
395057,12,"San Francisco, CA",msa,CA,802833,790833,823833,885000,926667,943333,940000,920000,895000,891667,886667,870000,833333,825000,846667,895000,927333,940667,925667,900000,877333,880667,887333,891667,857000,846667,863333,903000,921667,940000,973333,1006667,1018333,1014000,1014667,1003000,995667,1006667,1066167,1156167,1226167,1262167,1250500,1233833,1211667,1203333,1200000,1166667,1133333,1150000,1211500,1311500,1368167,1379333,1329333,1249333,1196667,1170000,1160000,1126667,1062333,1014000,1044000,1119333,1184333,1226333
395025,13,"Riverside, CA",msa,CA,345000,351667,355000,358333,358667,362000,365333,365000,365333,362000,361417,357750,356250,358500,361833,368000,371333,374667,376667,377661,378995,378995,378333,378333,378333,381667,386333,388000,389333,391667,403000,414667,424667,428417,431750,435083,438333,445000,456667,470000,481667,490000,498167,501833,503500,505333,510000,518000,524167,531583,540250,553583,564500,571167,565000,556667,545000,538333,525000,516667,506667,511667,515000,525667,533333,538333
394532,14,"Detroit, MI",msa,MI,167000,164167,164500,169500,179000,185667,192333,192000,187967,181800,178767,176967,171800,170167,171667,178333,186667,196000,204000,205333,202333,197375,193375,189042,185500,181500,186500,196167,199500,206167,213333,224300,225967,222500,220533,216200,209833,203250,205583,217050,232967,243267,248300,248300,246550,241050,237717,232167,225967,220967,221633,232333,245667,258167,262500,260833,253333,246667,238333,229983,218650,218267,220950,232617,243000,258667
395078,15,"Seattle, WA",msa,WA,430650,434000,444000,471573,483240,494573,489333,483000,466667,455333,449667,448000,443000,448333,461417,482083,498750,504250,505183,498183,491933,488667,488000,494000,489000,496483,506483,527975,528158,535825,543000,564667,577000,583333,585000,576667,571667,576567,604900,639900,673333,690000,700000,694992,681992,673658,668667,668333,655000,665000,698333,753333,786667,788333,763333,733333,711667,708333,696667,683330,657997,649663,656333,678333,708333,740210
394865,16,"Minneapolis, MN",msa,MN,239967,241633,246633,253333,260000,263333,263333,261667,258667,258633,257133,255133,253667,255167,262167,268667,275333,280000,281667,282500,279167,277167,274667,273400,270400,270225,276492,286492,291633,294967,299133,307067,308733,309567,306667,305000,300000,300000,306667,318333,329967,338617,341950,344650,341333,339667,333833,330167,326833,325000,332000,344000,359000,368667,370333,367000,359333,353233,346567,337817,333583,330250,336667,344667,355750,368523
395056,17,"San Diego, CA",msa,CA,585000,582000,591333,606333,617667,623000,629333,634333,629667,622500,612500,603667,597833,594500,598333,608333,616667,630000,630000,633333,623333,624667,627667,632667,636333,640167,645167,648500,644583,647917,664583,686750,708000,711333,709400,704150,702483,711000,726667,748333,772000,792000,801667,798000,794667,795000,800000,800000,808333,823333,848333,876000,899667,904667,890333,866667,852667,840667,825667,801333,785000,785000,803333,824250,840917,854250
395148,18,"Tampa, FL",msa,FL,204000,204000,207667,214667,218033,222367,225033,225667,223000,221333,221333,220667,219000,218333,220000,223333,227667,232667,237667,240000,238500,236833,234167,235333,234333,236000,236333,240667,243333,247667,252667,258967,263967,267300,269333,270667,269833,271500,274167,281667,291667,304333,314333,319333,323333,326167,330633,333967,341133,351667,363333,375000,387211,397211,402211,398333,390000,385000,380000,378333,368333,367000,369333,377667,384000,388592
394530,19,"Denver, CO",msa,CO,392933,401600,410000,423333,428333,433333,431333,429983,422483,418567,414917,414083,410667,410667,415667,426667,436667,442333,444000,441267,436433,433100,430833,430000,429667,436333,449667,456667,456667,454667,461333,469667,479500,487833,495500,492117,487117,493117,516375,542208,561875,574500,583667,585300,581633,578300,580667,582333,583333,594333,617333,646333,661500,665167,656833,645000,631667,621667,613333,601667,591000,587667,597667,611333,624667,622167
394358,20,"Baltimore, MD",msa,MD,271000,267179,270513,277846,286667,293333,296667,301667,300000,293333,289967,283300,279967,273000,277992,286325,296658,306500,314500,315167,312167,305800,301800,299633,296300,295300,297933,309633,317300,319767,320433,326100,326333,323333,317550,310883,304143,299259,300926,305833,317500,329167,338300,338300,335300,332000,328667,325000,320000,315667,319000,330667,348333,360000,363333,361067,356733,348983,339583,332250,329233,330900,337567,350167,365167,374167
395121,21,"St. Louis, MO",msa,MO,168667,168667,168667,177000,184233,190650,192283,189717,184967,181333,178000,177667,177000,176650,178133,180133,187817,197000,202333,203000,195000,192000,189112,190412,190662,187550,189250,194000,203333,210094,216260,219594,221167,219333,217333,214000,208000,205000,205667,212333,219000,228333,234333,237667,234333,228333,225000,221000,217867,216200,219867,227500,236167,249333,255133,256467,247883,242583,237917,235333,230333,226650,223983,232598,239282,253698
394943,22,"Orlando, FL",msa,FL,231667,233434,235767,240101,244967,249748,251415,251915,251467,250800,250333,249333,249333,249667,250998,253332,257048,261717,266717,269333,269083,265750,262083,262083,263083,265083,266000,269317,272650,275450,278133,282800,286333,289333,291800,293550,293550,294750,299333,309333,317667,328333,338333,346667,350000,351667,355000,361667,366667,373333,383333,396667,410000,417000,417000,413667,406667,401667,398333,395000,390733,389067,391367,397300,403967,410000
394458,23,"Charlotte, NC",msa,NC,210500,212167,213750,222250,228917,235500,239167,240667,235667,230667,227500,225333,222000,219667,224333,233667,244333,253333,259000,257333,253333,248833,247167,247833,245667,248000,250667,259000,259333,263500,269167,279833,283167,284500,285667,284667,283667,284167,294333,306667,321811,331811,339811,343000,344667,345000,346667,346667,346667,347452,354118,368785,386333,402333,402667,396000,383367,375033,368367,358333,356333,351333,359667,361667,373917,386583
395055,24,"San Antonio, TX",msa,TX,201000,201000,203333,206667,213500,218500,221833,222333,218333,215833,211833,211833,208667,208667,210333,215333,222000,226833,230833,230833,228350,226350,221350,221333,220000,223333,225000,230000,234083,239600,246267,252183,255333,255333,255333,255000,253333,254217,255883,263217,271000,280667,290000,294798,296798,296798,298333,300164,298498,298498,303333,313333,326333,334498,336165,332665,327833,326167,319833,316500,308167,307583,304917,308250,312000,316000
394998,25,"Portland, OR",msa,OR,368349,372667,379333,385000,393333,401667,403300,404300,398133,394273,388273,385273,382467,383800,387967,394333,401333,406617,410267,410267,406650,404000,402333,401333,400667,400667,407267,412800,416133,420533,428333,438983,445650,450650,451667,451667,451667,460000,470933,485933,499267,513333,521667,526833,523500,523500,521333,521733,518400,518733,531667,548333,566667,575333,577000,568667,558333,548333,542500,530167,519500,515333,521000,534667,549333,564500
395045,26,"Sacramento, CA",msa,CA,373500,374000,380667,392000,402333,409000,411333,408000,404667,400000,399167,395833,391500,389667,392667,404250,415250,422250,425000,425000,422492,417492,414408,411917,410250,411667,418333,428333,431667,438333,450000,465000,475000,479333,479333,478833,475500,481167,494333,511667,531000,545000,554667,556333,554000,551000,549667,548667,548667,555000,573333,590167,603500,600167,595333,580333,570333,556667,548333,532333,524833,521500,525667,536167,546167,561333
394982,27,"Pittsburgh, PA",msa,PA,146817,146817,151000,154333,159300,166200,171033,171067,165000,158667,154667,153917,153250,152250,153000,157000,165000,173333,178000,180050,174050,169950,165233,162900,160833,158083,163050,174217,183300,188333,190767,194083,194550,191450,186600,182767,178433,178967,184333,191000,198667,207583,214917,216583,210667,205633,202300,200600,196333,194667,194950,201917,211000,221417,227500,226750,219083,213000,206167,199833,191333,188133,191467,200467,210500,223500
394466,28,"Cincinnati, OH",msa,OH,166834,165856,169190,175689,181167,186000,187800,187133,182300,177633,176300,173967,171000,170133,174133,181133,187000,194367,198367,197533,192167,186833,185000,184750,182417,181417,187567,195567,200900,204333,209667,216667,217000,216333,215000,212667,207583,201250,203567,212650,223650,236167,243667,250000,246500,244333,241393,239060,234393,230667,232333,240000,251667,263333,266667,263333,257000,253833,251833,246500,239667,238867,240533,253867,266000,278000
394355,29,"Austin, TX",msa,TX,296583,297917,300333,309333,318000,325033,325533,325200,317167,313333,309908,312575,308742,303833,305648,316148,330481,339667,339667,335000,327967,328268,324598,325298,319997,325667,330500,338833,339333,344183,354183,365350,370000,371667,375000,380000,380000,391667,413333,451667,476867,495200,498533,498000,488000,474667,473333,475833,485833,496317,520483,550483,576750,580917,567583,544167,521667,505000,489667,474744,466036,456369,461977,469352,482685,493667
394775,30,"Las Vegas, NV",msa,NV,257500,260833,264067,270650,275983,280400,281983,283317,285667,287333,289000,289000,290500,290500,292167,293333,294667,295300,296300,298967,301667,302333,301667,300633,300563,303896,306263,306333,304758,307167,313833,318742,321667,324967,328300,329967,330417,333750,341083,350667,361667,372667,384333,391667,396667,398333,403333,407500,414567,424567,437067,451667,461633,464967,459967,448333,440000,431667,423333,411667,403333,400000,403000,406333,414667,420000
394735,31,"Kansas City, MO",msa,MO,188921,187254,191838,196733,206733,212733,216000,212667,206667,203333,203333,203233,201567,199233,204250,210917,222583,229133,232300,229633,223167,217000,213917,215250,214917,214667,218333,226667,234967,241467,248133,251833,253667,251983,250317,245317,243083,242750,246083,252708,262708,271042,276333,274667,271333,266667,265000,265333,260333,258950,263617,276950,294083,307417,311633,307549,298549,292667,284333,278333,271667,270000,270633,278950,291283,305650
394492,32,"Columbus, OH",msa,OH,181883,184800,185933,192133,197133,205333,209800,208133,203300,198300,195398,192065,187065,187467,190517,202217,213050,223000,224633,220250,212917,206950,202667,199417,200417,203867,211450,218117,226667,231667,239333,241000,242633,239967,236633,235000,229333,227667,232483,244817,259817,271667,278333,280000,273833,267167,263833,261667,261333,263000,268000,281667,295033,310033,313367,309967,301633,294933,288300,281717,271750,270667,275583,288917,303817,317150
